n_checks,n_comparisons,effect_size,sample_size,std_dev,Probability_of_finding_an_effect
1,2,0.05,10000,0.05,1
1,2,0.05,10000,0.1,1
1,2,0.05,10000,0.2,1
1,2,0.1,100,0.01,1
1,2,0.1,100,0.05,1
1,2,0.1,100,0.1,1
1,2,0.1,100,0.2,0.9964
1,2,0.1,1000,0.01,1
1,2,0.1,1000,0.05,1
1,2,0.1,1000,0.1,1
1,2,0.1,1000,0.2,1
1,2,0.1,5000,0.01,1
1,2,0.1,5000,0.05,1
1,2,0.1,5000,0.1,1
1,2,0.1,5000,0.2,1
1,2,0.1,10000,0.01,1
1,2,0.1,10000,0.05,1
1,2,0.1,10000,0.1,1
1,2,0.1,10000,0.2,1
1,2,0.2,100,0.01,1
1,2,0.2,100,0.05,1
1,2,0.2,100,0.1,1
1,2,0.2,100,0.2,1
1,2,0.2,1000,0.01,1
1,2,0.2,1000,0.05,1
1,2,0.2,1000,0.1,1
1,2,0.2,1000,0.2,1
1,2,0.2,5000,0.01,1
1,2,0.2,5000,0.05,1
1,2,0.2,5000,0.1,1
1,2,0.2,5000,0.2,1
1,2,0.2,10000,0.01,1
1,2,0.2,10000,0.05,1
1,2,0.2,10000,0.1,1
1,2,0.2,10000,0.2,1
1,3,0,100,0.01,0.1504
1,3,0,100,0.05,0.1464
1,3,0,100,0.1,0.143
1,3,0,100,0.2,0.1482
1,3,0,1000,0.01,0.1424
1,3,0,1000,0.05,0.1346
1,3,0,1000,0.1,0.138
1,3,0,1000,0.2,0.1558
1,3,0,5000,0.01,0.1524
1,3,0,5000,0.05,0.1426
1,3,0,5000,0.1,0.1466
1,3,0,5000,0.2,0.1462
1,3,0,10000,0.01,0.1438
1,3,0,10000,0.05,0.1442
1,3,0,10000,0.1,0.1502
1,3,0,10000,0.2,0.1468
1,3,0.01,100,0.01,1
1,3,0.01,100,0.05,0.6464
1,3,0.01,100,0.1,0.2874
1,3,0.01,100,0.2,0.188
1,3,0.01,1000,0.01,1
1,3,0.01,1000,0.05,1
1,3,0.01,1000,0.1,0.9342
1,3,0.01,1000,0.2,0.4972
1,3,0.01,5000,0.01,1
1,3,0.01,5000,0.05,1
1,3,0.01,5000,0.1,1
1,3,0.01,5000,0.2,0.973
1,3,0.01,10000,0.01,1
1,3,0.01,10000,0.05,1
1,3,0.01,10000,0.1,1
1,3,0.01,10000,0.2,0.9998
1,3,0.02,100,0.01,1
1,3,0.02,100,0.05,0.9924
1,3,0.02,100,0.1,0.6376
1,3,0.02,100,0.2,0.2876
1,3,0.02,1000,0.01,1
1,3,0.02,1000,0.05,1
1,3,0.02,1000,0.1,1
1,3,0.02,1000,0.2,0.9412
1,3,0.02,5000,0.01,1
1,3,0.02,5000,0.05,1
1,3,0.02,5000,0.1,1
1,3,0.02,5000,0.2,1
1,3,0.02,10000,0.01,1
1,3,0.02,10000,0.05,1
1,3,0.02,10000,0.1,1
1,3,0.02,10000,0.2,1
1,3,0.05,100,0.01,1
1,3,0.05,100,0.05,1
1,3,0.05,100,0.1,0.9996
1,3,0.05,100,0.2,0.8034
1,3,0.05,1000,0.01,1
1,3,0.05,1000,0.05,1
1,3,0.05,1000,0.1,1
1,3,0.05,1000,0.2,1
1,3,0.05,5000,0.01,1
1,3,0.05,5000,0.05,1
1,3,0.05,5000,0.1,1
1,3,0.05,5000,0.2,1
1,3,0.05,10000,0.01,1
1,3,0.05,10000,0.05,1
1,3,0.05,10000,0.1,1
1,3,0.05,10000,0.2,1
1,3,0.1,100,0.01,1
1,3,0.1,100,0.05,1
1,3,0.1,100,0.1,1
1,3,0.1,100,0.2,1
1,3,0.1,1000,0.01,1
1,3,0.1,1000,0.05,1
1,3,0.1,1000,0.1,1
1,3,0.1,1000,0.2,1
1,3,0.1,5000,0.01,1
1,3,0.1,5000,0.05,1
1,3,0.1,5000,0.1,1
1,3,0.1,5000,0.2,1
1,3,0.1,10000,0.01,1
1,3,0.1,10000,0.05,1
1,3,0.1,10000,0.1,1
1,3,0.1,10000,0.2,1
1,3,0.2,100,0.01,1
1,3,0.2,100,0.05,1
1,3,0.2,100,0.1,1
1,3,0.2,100,0.2,1
1,3,0.2,1000,0.01,1
1,3,0.2,1000,0.05,1
1,3,0.2,1000,0.1,1
1,3,0.2,1000,0.2,1
1,3,0.2,5000,0.01,1
