n_checks,n_comparisons,effect_size,sample_size,Probability_of_finding_an_effect
5,10,0.04,1000,1
5,10,0.04,5000,1
5,10,0.05,100,1
5,10,0.05,1000,1
5,10,0.05,5000,1
5,10,0.06,100,1
5,10,0.06,1000,1
5,10,0.06,5000,1
5,10,0.07,100,1
5,10,0.07,1000,1
5,10,0.07,5000,1
5,10,0.08,100,1
5,10,0.08,1000,1
5,10,0.08,5000,1
5,10,0.09,100,1
5,10,0.09,1000,1
5,10,0.09,5000,1
5,10,0.1,100,1
5,10,0.1,1000,1
5,10,0.1,5000,1
5,20,0,100,0.84
5,20,0,1000,0.8
5,20,0,5000,0.78
5,20,0.01,100,0.86
5,20,0.01,1000,0.96
5,20,0.01,5000,1
5,20,0.02,100,0.96
5,20,0.02,1000,1
5,20,0.02,5000,1
5,20,0.03,100,0.94
5,20,0.03,1000,1
5,20,0.03,5000,1
5,20,0.04,100,1
5,20,0.04,1000,1
5,20,0.04,5000,1
5,20,0.05,100,1
5,20,0.05,1000,1
5,20,0.05,5000,1
5,20,0.06,100,1
5,20,0.06,1000,1
5,20,0.06,5000,1
5,20,0.07,100,1
5,20,0.07,1000,1
5,20,0.07,5000,1
5,20,0.08,100,1
5,20,0.08,1000,1
5,20,0.08,5000,1
5,20,0.09,100,1
5,20,0.09,1000,1
5,20,0.09,5000,1
5,20,0.1,100,1
5,20,0.1,1000,1
5,20,0.1,5000,1
10,1,0,100,0.14
10,1,0,1000,0.36
10,1,0,5000,0.08
10,1,0.01,100,0.18
10,1,0.01,1000,0.74
10,1,0.01,5000,1
10,1,0.02,100,0.38
10,1,0.02,1000,0.98
10,1,0.02,5000,1
10,1,0.03,100,0.64
10,1,0.03,1000,1
10,1,0.03,5000,1
10,1,0.04,100,0.72
10,1,0.04,1000,1
10,1,0.04,5000,1
10,1,0.05,100,0.9
10,1,0.05,1000,1
10,1,0.05,5000,1
10,1,0.06,100,0.98
10,1,0.06,1000,1
10,1,0.06,5000,1
10,1,0.07,100,0.98
10,1,0.07,1000,1
10,1,0.07,5000,1
10,1,0.08,100,1
10,1,0.08,1000,1
10,1,0.08,5000,1
10,1,0.09,100,1
10,1,0.09,1000,1
10,1,0.09,5000,1
10,1,0.1,100,1
10,1,0.1,1000,1
10,1,0.1,5000,1
10,5,0,100,0.54
10,5,0,1000,0.56
10,5,0,5000,0.6
10,5,0.01,100,0.62
10,5,0.01,1000,0.92
10,5,0.01,5000,1
10,5,0.02,100,0.84
10,5,0.02,1000,1
10,5,0.02,5000,1
10,5,0.03,100,0.94
10,5,0.03,1000,1
10,5,0.03,5000,1
10,5,0.04,100,0.88
10,5,0.04,1000,1
10,5,0.04,5000,1
10,5,0.05,100,0.98
10,5,0.05,1000,1
10,5,0.05,5000,1
10,5,0.06,100,1
10,5,0.06,1000,1
10,5,0.06,5000,1
10,5,0.07,100,1
10,5,0.07,1000,1
10,5,0.07,5000,1
10,5,0.08,100,1
10,5,0.08,1000,1
10,5,0.08,5000,1
10,5,0.09,100,1
10,5,0.09,1000,1
10,5,0.09,5000,1
10,5,0.1,100,1
10,5,0.1,1000,1
10,5,0.1,5000,1
10,10,0,100,0.68
10,10,0,1000,0.74
10,10,0,5000,0.72
10,10,0.01,100,0.9
10,10,0.01,1000,0.98
10,10,0.01,5000,1
10,10,0.02,100,0.9
10,10,0.02,1000,1
10,10,0.02,5000,1
10,10,0.03,100,0.96
10,10,0.03,1000,1
10,10,0.03,5000,1
10,10,0.04,100,1
10,10,0.04,1000,1
10,10,0.04,5000,1
10,10,0.05,100,1
10,10,0.05,1000,1
10,10,0.05,5000,1
10,10,0.06,100,1
10,10,0.06,1000,1
10,10,0.06,5000,1
10,10,0.07,100,1
10,10,0.07,1000,1
10,10,0.07,5000,1
10,10,0.08,100,1
10,10,0.08,1000,1
10,10,0.08,5000,1
10,10,0.09,100,1
10,10,0.09,1000,1
10,10,0.09,5000,1
10,10,0.1,100,1
10,10,0.1,1000,1
10,10,0.1,5000,1
10,20,0,100,0.92
10,20,0,1000,0.88
10,20,0,5000,0.98
10,20,0.01,100,0.94
10,20,0.01,1000,0.98
10,20,0.01,5000,1
10,20,0.02,100,0.92
10,20,0.02,1000,1
10,20,0.02,5000,1
10,20,0.03,100,0.98
10,20,0.03,1000,1
10,20,0.03,5000,1
10,20,0.04,100,1
10,20,0.04,1000,1
10,20,0.04,5000,1
10,20,0.05,100,1
10,20,0.05,1000,1
10,20,0.05,5000,1
10,20,0.06,100,1
10,20,0.06,1000,1
10,20,0.06,5000,1
10,20,0.07,100,1
10,20,0.07,1000,1
10,20,0.07,5000,1
10,20,0.08,100,1
10,20,0.08,1000,1
10,20,0.08,5000,1
10,20,0.09,100,1
10,20,0.09,1000,1
10,20,0.09,5000,1
10,20,0.1,100,1
10,20,0.1,1000,1
10,20,0.1,5000,1
20,1,0,100,0.26
20,1,0,1000,0.28
20,1,0,5000,0.26
20,1,0.01,100,0.36
20,1,0.01,1000,0.52
20,1,0.01,5000,1
20,1,0.02,100,0.5
20,1,0.02,1000,0.96
20,1,0.02,5000,1
20,1,0.03,100,0.48
20,1,0.03,1000,1
20,1,0.03,5000,1
20,1,0.04,100,0.68
20,1,0.04,1000,1
20,1,0.04,5000,1
20,1,0.05,100,0.88
20,1,0.05,1000,1
20,1,0.05,5000,1
20,1,0.06,100,0.98
20,1,0.06,1000,1
20,1,0.06,5000,1
20,1,0.07,100,0.98
20,1,0.07,1000,1
20,1,0.07,5000,1
20,1,0.08,100,1
20,1,0.08,1000,1
20,1,0.08,5000,1
20,1,0.09,100,1
20,1,0.09,1000,1
20,1,0.09,5000,1
20,1,0.1,100,1
20,1,0.1,1000,1
20,1,0.1,5000,1
20,5,0,100,0.72
20,5,0,1000,0.68
20,5,0,5000,0.58
20,5,0.01,100,0.84
20,5,0.01,1000,0.92
